ISO 27001:2022 Control ID,Control Name,Internal Policy File,Mapping Notes
5.15,Access control,GLOBAL-CONTROLS/access-control.md,Covers provisioning and authorization.
5.16,Identity management,GLOBAL-CONTROLS/access-control.md,Covers unique user IDs and IdP usage.
5.17,Authentication information,GLOBAL-CONTROLS/access-control.md,Covers password complexity and MFA.
5.18,Access rights,GLOBAL-CONTROLS/access-control.md,Covers RBAC and periodic reviews.
6.3,Information security awareness education and training,GLOBAL-CONTROLS/awareness-training.md,Covers annual training and onboarding.
8.24,Use of cryptography,GLOBAL-CONTROLS/encryption-standard.md,Covers encryption in transit and at rest.
5.24,Information security incident management planning and preparation,GLOBAL-CONTROLS/incident-response.md,Covers IRP and playbooks.
5.25,Assessment and decision on information security events,GLOBAL-CONTROLS/incident-response.md,Covers triage and severity levels.
5.26,Response to information security incidents,GLOBAL-CONTROLS/incident-response.md,Covers containment and eradication.
5.27,Learning from information security incidents,GLOBAL-CONTROLS/incident-response.md,Covers post-incident reviews.
5.28,Collection of evidence,GLOBAL-CONTROLS/incident-response.md,Covers chain-of-custody practices.
8.10,Information deletion,INDUSTRY-VERTICALS/01-AI-SAAS/data-sanitization-ai.md,Covers secure disposal of data.
5.37,Documented operating procedures,INDUSTRY-VERTICALS/01-AI-SAAS/model-governance.md,Covers AI model lifecycle management.
5.21,Information security in supplier relationships,INDUSTRY-VERTICALS/02-FINTECH/third-party-risk-fintech.md,Covers vendor risk assessment.
8.14,Redundancy of information processing facilities,INDUSTRY-VERTICALS/02-FINTECH/resilience-failover.md,Covers failover and uptime.
5.23,Information security for use of cloud services,STARTUPS-SMB/startup-security-baseline.md,General cloud security baseline.
8.1,User endpoint devices,STARTUPS-SMB/zero-trust-for-remote.md,Covers remote work and device health.
8.3,Reporting information security events,STARTUPS-SMB/simple-incident-response.md,Streamlined reporting for SMBs.
